APOLLOHOSP, pledge, 71.26
ASTRAZEN, dp3, 0.0
BAJAJFINSV, dp3, 1.17
BASF, roce3, 5.13
BHEL, roce3, 5.42
CHOLAHLDNG, dp3, 2.72
DISHTV, pledge, 94.47
DLF, roce3, 5.75
DMART, dp3, 0.0
EVEREADY, rank, 694.0
FLFL, icr, 2.32
FRETAIL, pledge, 51.51
GICRE, roe3, 5.31
INDIGO, icr, 2.5
INFRATEL, icr, -9.78
JCHAC, dp3, 4.61
JISLJALEQS, pledge, 50.85
KOTAKBANK, dp3, 2.17
LT, icr, 2.51
MOTHERSUMI, d2e, 1.05
NLCINDIA, d2e, 1.05
QUESS, dp3, 0.0
SBIN, roe3, -0.33
SFL, dp3, 0.0
THOMASCOOK, roce3, 5.08
UPL, icr, 2.56
ZEEL, pledge, 63.98
