3MINDIA, dp3, 0.0
ADANIENT, pledge, 25.93
ADANIPORTS, pledge, 32.1
ALLCARGO, rank, 475.0
APOLLOHOSP, pledge, 71.26
APOLLOTYRE, pledge, 15.02
ASHOKLEY, pledge, 9.26
ASIANPAINT, pledge, 11.95
AUROPHARMA, pledge, 3.82
BAJAJFINSV, dp3, 1.17
BALRAMCHIN, rank, 446.0
BASF, roce3, 5.13
BHEL, roce3, 5.42
BPCL, d2e, 0.78
CADILAHC, d2e, 0.76
CARERATING, rank, 458.0
CENTURYPLY, rank, 387.0
CERA, rank, 412.0
CHOLAHLDNG, dp3, 2.72
COROMANDEL, d2e, 0.88
CROMPTON, pledge, 48.85
DELTACORP, pledge, 6.08
DISHTV, pledge, 94.47
DLF, roce3, 5.75
DMART, dp3, 0.0
EIDPARRY, rank, 413.0
EMAMILTD, pledge, 46.81
ESSELPACK, rank, 393.0
EVEREADY, rank, 694.0
FLFL, pledge, 13.84
FRETAIL, pledge, 51.51
GICRE, roe3, 5.31
HEIDELBERG, rank, 385.0
HINDPETRO, d2e, 0.97
IOC, d2e, 0.86
JISLJALEQS, rank, 462.0
JSWSTEEL, pledge, 49.13
JUBLFOOD, pledge, 2.36
KOTAKBANK, dp3, 2.17
KRBL, d2e, 0.52
LAOPALA, rank, 510.0
LT, d2e, 1.97
LUPIN, d2e, 0.62
M&M, pledge, 3.07
MAHLOG, rank, 409.0
MANAPPURAM, pledge, 3.38
MFSL, pledge, 80.36
MHRIL, rank, 455.0
MOTHERSUMI, pledge, 4.56
MRF, dp3, 2.13
NIACL, roce3, -2.45
NILKAMAL, rank, 548.0
NLCINDIA, d2e, 1.05
QUESS, dp3, 0.0
RALLIS, rank, 444.0
SBIN, roe3, -0.33
SFL, dp3, 0.0
SUNPHARMA, pledge, 10.97
TATACOFFEE, rank, 595.0
TATAGLOBAL, pledge, 3.99
TATAMOTORS, pledge, 4.67
TATAPOWER, pledge, 4.34
TATASTEEL, pledge, 3.51
TCS, pledge, 2.94
THOMASCOOK, roce3, 5.08
THYROCARE, rank, 470.0
TVSSRICHAK, rank, 592.0
UBL, pledge, 18.2
UFLEX, rank, 583.0
VBL, d2e, 1.3
VEDL, d2e, 1.06
VENKEYS, rank, 456.0
ZEEL, pledge, 63.98
